feature,modality,feature_name,module,kME
Olink_MATN2,Olink,MATN2,blue,0.8572038279056258
Olink_LTBR,Olink,LTBR,blue,0.8854945812201374
Olink_LAMA4,Olink,LAMA4,blue,0.79845780998151
Olink_FST,Olink,FST,turquoise,0.15770798052042925
Olink_CHRDL1,Olink,CHRDL1,blue,0.6031428375979628
Olink_CCL24,Olink,CCL24,turquoise,0.3384213559239594
Olink_LGMN,Olink,LGMN,turquoise,0.47735855840972613
Olink_DAG1,Olink,DAG1,turquoise,0.672626860720526
Olink_PNLIPRP2,Olink,PNLIPRP2,turquoise,0.2462623249815624
Olink_OSCAR,Olink,OSCAR,brown,0.700853465314033
Olink_PON3,Olink,PON3,yellow,0.4328956585404213
Olink_FABP1,Olink,FABP1,blue,0.759953434978035
Olink_MPIG6B,Olink,MPIG6B,turquoise,0.863432950246847
Olink_B4GALT1,Olink,B4GALT1,blue,0.809279861918406
Olink_LGALS9,Olink,LGALS9,brown,0.7216914440320877
Olink_FSTL3,Olink,FSTL3,blue,0.8559929220749144
Olink_TNFRSF14,Olink,TNFRSF14,blue,0.7871586181649258
Olink_REG4,Olink,REG4,blue,0.7043838894681382
Olink_WFIKKN2,Olink,WFIKKN2,blue,0.2824266889933049
Olink_AGRN,Olink,AGRN,blue,0.8872461738519127
Olink_TFF2,Olink,TFF2,blue,0.6845476436975785
Olink_CXCL3,Olink,CXCL3,turquoise,0.6175434518868144
Olink_NME3,Olink,NME3,blue,0.43953515398263165
